Date,buy_hold,momentum_20_100,mean_reversion_5,pead_yahoo,tradingagents_proxy,daily_stock_analysis_proxy,tradingagents_true,daily_stock_analysis_true
2024-05-29,128414.19112338884,104080.52975872047,106759.72992274468,121168.64109350325,104080.52975872047,106759.72992274468,100000.0,100000.0
2024-05-30,129030.76428665938,104295.67473543278,105418.29834282011,121168.64109350325,104295.67473543278,105418.29834282011,100000.0,100000.0
2024-05-31,128380.79840224682,103352.80445853634,105949.03993830115,121168.64109350325,103352.80445853634,105949.03993830115,100000.0,100000.0
2024-06-03,128639.47560471125,103375.98371187627,105915.4738767069,121168.64109350325,103375.98371187627,105915.4738767069,100000.0,100000.0
2024-06-04,128356.37538578024,102964.10465589403,104491.13429239136,121168.64109350325,102964.10465589403,104491.13429239136,100000.0,100000.0
2024-06-05,132215.6656450983,105811.34626516164,109195.8230853842,121168.64109350325,105811.34626516164,109195.8230853842,100000.0,100000.0
2024-06-06,133133.51277690314,106573.5361408035,109370.15109549457,121168.64109350325,106573.5361408035,109370.15109549457,100000.0,100000.0
2024-06-07,132834.56943170005,105172.34721476251,110050.8816627109,121168.64109350325,105172.34721476251,110050.8816627109,100000.0,100000.0
2024-06-10,133317.9526973259,106828.78399180633,111685.42432890975,121168.64109350325,106828.78399180633,111685.42432890975,100000.0,100000.0
2024-06-11,132792.6181360129,106953.90268565048,111575.31361407124,121168.64109350325,106953.90268565048,111575.31361407124,100000.0,100000.0
2024-06-12,135352.57360631766,108734.64098085521,111405.56335544154,121168.64109350325,108734.64098085521,111405.56335544154,100000.0,100000.0
2024-06-13,134200.68255379758,108300.15504123231,110340.24656171733,121168.64109350325,108300.15504123231,110340.24656171733,100000.0,100000.0
2024-06-14,130961.74445955169,107063.47674245962,105936.28141312399,121168.64109350325,107063.47674245962,105936.28141312399,100000.0,100000.0
2024-06-17,131153.11668192132,107345.04289894478,106125.91476399465,121168.64109350325,107345.04289894478,106125.91476399465,100000.0,100000.0
2024-06-18,131825.778189319,107450.75547602079,106416.62187060287,121168.64109350325,107450.75547602079,106416.62187060287,100000.0,100000.0
2024-06-20,129560.81320233295,104481.4659144215,105312.06296190819,121168.64109350325,104481.4659144215,105312.06296190819,100000.0,100000.0
2024-06-21,129763.64730727166,104676.11563028676,106159.54247821704,121168.64109350325,104676.11563028676,106159.54247821704,100000.0,100000.0
2024-06-24,129339.22732852418,103980.41385153012,107187.39364945436,121168.64109350325,103980.41385153012,107187.39364945436,100000.0,100000.0
2024-06-25,130291.88290541309,105452.52524302748,107766.65345038418,121168.64109350325,105452.52524302748,107766.65345038418,100000.0,100000.0
2024-06-26,129091.18946825944,104960.00979181447,103296.9186323482,121168.64109350325,104960.00979181447,103296.9186323482,100000.0,100000.0
2024-06-27,129433.35119890445,104959.27103319931,100538.69302477491,121168.64109350325,104959.27103319931,100538.69302477491,100000.0,100000.0
2024-06-28,129362.66098680245,103891.02862685698,98518.85041343022,121168.64109350325,103891.02862685698,98518.85041343022,100000.0,100000.0
2024-07-01,129696.24450887772,105438.87437808579,100018.86236393967,121168.64109350325,105438.87437808579,100018.86236393967,100000.0,100000.0
