date,symbol,model,decision,conviction,confidence,reasoning,metadata
2026-02-11,HOOD,pead_yahoo,buy,0.313,0.5126,EPS surprise 6.26% after earnings on 2026-02-10; hold 5 trading days,"{""eps_estimate"":0.68,""reported_eps"":0.73,""surprise_pct"":6.2600}"
2026-04-29,HOOD,pead_yahoo,buy,0.4315,0.5363,EPS surprise 8.63% after earnings on 2026-04-28; hold 5 trading days,"{""eps_estimate"":0.43,""reported_eps"":0.47,""surprise_pct"":8.6300}"
2026-07-30,HOOD,pead_yahoo,buy,1.0,0.8871,EPS surprise 43.71% after earnings on 2026-07-29; hold 5 trading days,"{""eps_estimate"":0.43,""reported_eps"":0.62,""surprise_pct"":43.7100}"
2024-02-28,LMND,pead_yahoo,buy,1.0,0.6843,EPS surprise 23.43% after earnings on 2024-02-27; hold 5 trading days,"{""eps_estimate"":-0.8,""reported_eps"":-0.61,""surprise_pct"":23.4300}"
2024-05-02,LMND,pead_yahoo,buy,0.336,0.5172,EPS surprise 6.72% after earnings on 2024-05-01; hold 5 trading days,"{""eps_estimate"":-0.72,""reported_eps"":-0.67,""surprise_pct"":6.7200}"
2024-07-31,LMND,pead_yahoo,buy,0.36,0.522,EPS surprise 7.20% after earnings on 2024-07-30; hold 5 trading days,"{""eps_estimate"":-0.87,""reported_eps"":-0.81,""surprise_pct"":7.2000}"
2024-10-31,LMND,pead_yahoo,buy,0.343,0.5186,EPS surprise 6.86% after earnings on 2024-10-30; hold 5 trading days,"{""eps_estimate"":-1.02,""reported_eps"":-0.95,""surprise_pct"":6.8600}"
2025-02-26,LMND,pead_yahoo,buy,1.0,0.7033,EPS surprise 25.33% after earnings on 2025-02-25; hold 5 trading days,"{""eps_estimate"":-0.56,""reported_eps"":-0.42,""surprise_pct"":25.3300}"
2025-05-07,LMND,pead_yahoo,buy,0.4615,0.5423,EPS surprise 9.23% after earnings on 2025-05-06; hold 5 trading days,"{""eps_estimate"":-0.84,""reported_eps"":-0.76,""surprise_pct"":9.2300}"
2025-11-06,LMND,pead_yahoo,buy,1.0,0.7256,EPS surprise 27.56% after earnings on 2025-11-05; hold 5 trading days,"{""eps_estimate"":-0.7,""reported_eps"":-0.51,""surprise_pct"":27.5600}"
2026-02-20,LMND,pead_yahoo,buy,1.0,0.7756,EPS surprise 32.56% after earnings on 2026-02-19; hold 5 trading days,"{""eps_estimate"":-0.43,""reported_eps"":-0.29,""surprise_pct"":32.5600}"
2026-04-30,LMND,pead_yahoo,buy,0.6895,0.5879,EPS surprise 13.79% after earnings on 2026-04-29; hold 5 trading days,"{""eps_estimate"":-0.57,""reported_eps"":-0.49,""surprise_pct"":13.7900}"
2024-02-08,OSCR,pead_yahoo,buy,0.319,0.5138,EPS surprise 6.38% after earnings on 2024-02-07; hold 5 trading days,"{""eps_estimate"":-0.7,""reported_eps"":-0.66,""surprise_pct"":6.3800}"
2024-05-08,OSCR,pead_yahoo,buy,1.0,0.95,EPS surprise 129.63% after earnings on 2024-05-07; hold 5 trading days,"{""eps_estimate"":0.27,""reported_eps"":0.62,""surprise_pct"":129.6300}"
2024-08-08,OSCR,pead_yahoo,buy,1.0,0.7403,EPS surprise 29.03% after earnings on 2024-08-07; hold 5 trading days,"{""eps_estimate"":0.16,""reported_eps"":0.2,""surprise_pct"":29.0300}"
2024-11-08,OSCR,pead_yahoo,sell,-1.0,0.7004,EPS surprise -25.04% after earnings on 2024-11-07; hold 5 trading days,"{""eps_estimate"":-0.18,""reported_eps"":-0.22,""surprise_pct"":-25.0400}"
2025-02-05,OSCR,pead_yahoo,sell,-0.3245,0.5149,EPS surprise -6.49% after earnings on 2025-02-04; hold 5 trading days,"{""eps_estimate"":-0.58,""reported_eps"":-0.62,""surprise_pct"":-6.4900}"
2025-05-08,OSCR,pead_yahoo,buy,0.6965,0.5893,EPS surprise 13.93% after earnings on 2025-05-07; hold 5 trading days,"{""eps_estimate"":0.81,""reported_eps"":0.92,""surprise_pct"":13.9300}"
2025-08-07,OSCR,pead_yahoo,sell,-0.323,0.5146,EPS surprise -6.46% after earnings on 2025-08-06; hold 5 trading days,"{""eps_estimate"":-0.84,""reported_eps"":-0.89,""surprise_pct"":-6.4600}"
2025-11-07,OSCR,pead_yahoo,buy,0.4325,0.5365,EPS surprise 8.65% after earnings on 2025-11-06; hold 5 trading days,"{""eps_estimate"":-0.58,""reported_eps"":-0.53,""surprise_pct"":8.6500}"
2026-02-11,OSCR,pead_yahoo,sell,-1.0,0.7958,EPS surprise -34.58% after earnings on 2026-02-10; hold 5 trading days,"{""eps_estimate"":-0.92,""reported_eps"":-1.24,""surprise_pct"":-34.5800}"
2026-05-07,OSCR,pead_yahoo,buy,1.0,0.95,EPS surprise 88.18% after earnings on 2026-05-06; hold 5 trading days,"{""eps_estimate"":1.1,""reported_eps"":2.07,""surprise_pct"":88.1800}"
2024-02-14,WELL,pead_yahoo,buy,0.9665,0.6433,EPS surprise 19.33% after earnings on 2024-02-13; hold 5 trading days,"{""eps_estimate"":0.21,""reported_eps"":0.25,""surprise_pct"":19.3300}"
2024-04-30,WELL,pead_yahoo,buy,1.0,0.95,EPS surprise 60.19% after earnings on 2024-04-29; hold 5 trading days,"{""eps_estimate"":0.21,""reported_eps"":0.34,""surprise_pct"":60.1900}"
2024-07-30,WELL,pead_yahoo,buy,1.0,0.701,EPS surprise 25.10% after earnings on 2024-07-29; hold 5 trading days,"{""eps_estimate"":0.31,""reported_eps"":0.39,""surprise_pct"":25.1000}"
2024-10-29,WELL,pead_yahoo,buy,0.8515,0.6203,EPS surprise 17.03% after earnings on 2024-10-28; hold 5 trading days,"{""eps_estimate"":0.35,""reported_eps"":0.41,""surprise_pct"":17.0300}"
